number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
21,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
22,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
23,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
27,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
28,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
30,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
31,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
32,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
33,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
34,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
35,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
36,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
37,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
38,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
40,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
41,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
42,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
43,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
44,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000
45,1.000000,1.000000,1.000000,1.000000,1.000000,5.000000
46,1.000000,1.000000,1.000000,1.000000,2.000000,8.000000
47,1.000000,1.000000,1.000000,1.000000,1.000000,9.000000
48,1.000000,1.000000,1.000000,1.000000,1.000000,12.000000
49,1.000000,1.000000,1.000000,1.000000,1.000000,18.000000
50,1.000000,1.000000,1.000000,1.000000,1.000000,21.000000
51,1.000000,1.000000,1.000000,1.000000,15.000000,17.000000
52,1.000000,1.000000,1.000000,1.000000,12.000000,35.000000
53,1.000000,1.000000,1.000000,1.000000,22.000000,35.000000
54,1.000000,1.000000,1.000000,1.000000,15.000000,24.000000
55,1.000000,1.000000,1.000000,4.000000,23.000000,31.000000
56,1.000000,1.000000,1.000000,1.000000,23.000000,46.000000
57,1.000000,1.000000,1.000000,7.000000,30.000000,44.000000
58,1.000000,1.000000,1.000000,12.000000,42.000000,34.000000
59,1.000000,1.000000,1.000000,13.000000,38.000000,53.000000
60,1.000000,1.000000,1.000000,29.000000,29.000000,46.000000
61,1.000000,1.000000,1.000000,27.000000,40.000000,47.000000
62,1.000000,1.000000,1.000000,24.000000,36.000000,34.000000
63,1.000000,1.000000,1.000000,20.000000,43.000000,32.000000
64,1.000000,1.000000,1.000000,36.000000,56.000000,40.000000
65,1.000000,1.000000,1.000000,43.000000,37.000000,48.000000
66,1.000000,1.000000,1.000000,55.000000,54.000000,30.000000
67,1.000000,1.000000,2.000000,47.000000,61.000000,28.000000
68,1.000000,1.000000,18.000000,63.000000,56.000000,28.000000
69,1.000000,1.000000,15.000000,59.000000,46.000000,29.000000
70,1.000000,1.000000,32.000000,46.000000,46.000000,21.000000
71,1.000000,1.000000,37.000000,68.000000,48.000000,25.000000
72,1.000000,1.000000,42.000000,72.000000,44.000000,31.000000
73,1.000000,1.000000,32.000000,56.000000,43.000000,22.000000
74,1.000000,1.000000,36.000000,66.000000,47.000000,29.000000
75,1.000000,1.000000,44.000000,63.000000,47.000000,16.000000
76,1.000000,1.000000,48.000000,76.000000,38.000000,15.000000
77,1.000000,1.000000,51.000000,78.000000,45.000000,19.000000
78,1.000000,1.000000,53.000000,70.000000,36.000000,19.000000
79,1.000000,1.000000,47.000000,60.000000,28.000000,9.000000
80,1.000000,1.000000,62.000000,62.000000,35.000000,17.000000
81,1.000000,1.000000,64.000000,69.000000,25.000000,8.000000
82,1.000000,1.000000,57.000000,59.000000,39.000000,16.000000
83,1.000000,1.000000,62.000000,88.000000,33.000000,12.000000
84,1.000000,1.000000,72.000000,64.000000,31.000000,8.000000
85,1.000000,1.000000,80.000000,64.000000,27.000000,7.000000
86,1.000000,1.000000,106.000000,77.000000,27.000000,4.000000
87,1.000000,1.000000,112.000000,66.000000,24.000000,12.000000
88,1.000000,1.000000,94.000000,57.000000,19.000000,2.000000
89,1.000000,1.000000,101.000000,54.000000,16.000000,3.000000
90,1.000000,1.000000,117.000000,57.000000,12.000000,4.000000
91,1.000000,229.000000,124.000000,45.000000,20.000000,8.000000
92,1.000000,173.000000,94.000000,46.000000,15.000000,4.000000
93,1.000000,146.000000,113.000000,46.000000,6.000000,2.000000
94,1.000000,146.000000,139.000000,40.000000,10.000000,2.000000
95,1.000000,150.000000,98.000000,35.000000,13.000000,2.000000
96,1.000000,121.000000,79.000000,36.000000,8.000000,4.000000
97,1.000000,127.000000,87.000000,33.000000,14.000000,2.000000
98,1.000000,101.000000,68.000000,23.000000,8.000000,3.000000
99,1.000000,96.000000,70.000000,30.000000,11.000000,2.000000
100,1.000000,98.000000,63.000000,20.000000,7.000000,1.000000
101,1.000000,97.000000,85.000000,26.000000,6.000000,1.000000
102,1.000000,102.000000,67.000000,28.000000,7.000000,2.000000
103,1.000000,105.000000,53.000000,31.000000,4.000000,1.000000
104,1.000000,82.000000,76.000000,27.000000,5.000000,1.000000
105,1.000000,75.000000,57.000000,23.000000,7.000000,1.000000
106,1.000000,90.000000,58.000000,18.000000,4.000000,1.000000
107,1.000000,74.000000,56.000000,13.000000,6.000000,1.000000
108,1.000000,82.000000,65.000000,14.000000,1.000000,1.000000
109,1.000000,87.000000,49.000000,21.000000,3.000000,1.000000
110,1.000000,94.000000,43.000000,12.000000,3.000000,1.000000
111,1.000000,86.000000,47.000000,20.000000,3.000000,1.000000
112,1.000000,75.000000,55.000000,14.000000,1.000000,1.000000
113,1.000000,90.000000,50.000000,14.000000,4.000000,1.000000
114,1.000000,93.000000,50.000000,13.000000,2.000000,2.000000
115,1.000000,95.000000,46.000000,12.000000,1.000000,1.000000
116,1.000000,92.000000,54.000000,12.000000,2.000000,1.000000
117,1.000000,111.000000,53.000000,12.000000,2.000000,1.000000
118,1.000000,113.000000,49.000000,6.000000,4.000000,1.000000
119,1.000000,112.000000,44.000000,10.000000,3.000000,1.000000
120,1.000000,132.000000,49.000000,3.000000,1.000000,1.000000
121,1.000000,109.000000,43.000000,13.000000,4.000000,1.000000
122,1.000000,114.000000,54.000000,9.000000,1.000000,1.000000
123,1.000000,134.000000,53.000000,10.000000,1.000000,1.000000
124,1.000000,133.000000,31.000000,6.000000,3.000000,1.000000
125,1.000000,114.000000,39.000000,7.000000,2.000000,1.000000
126,1.000000,134.000000,39.000000,5.000000,1.000000,1.000000
127,1.000000,139.000000,38.000000,4.000000,1.000000,1.000000
128,1.000000,150.000000,35.000000,2.000000,1.000000,1.000000
129,1.000000,153.000000,44.000000,7.000000,1.000000,1.000000
130,1.000000,142.000000,32.000000,4.000000,1.000000,1.000000
131,1.000000,156.000000,29.000000,1.000000,1.000000,1.000000
132,1.000000,148.000000,24.000000,2.000000,1.000000,1.000000
133,1.000000,159.000000,20.000000,5.000000,1.000000,1.000000
134,1.000000,178.000000,20.000000,1.000000,1.000000,1.000000
135,1.000000,185.000000,26.000000,3.000000,1.000000,1.000000
136,1.000000,177.000000,16.000000,1.000000,1.000000,1.000000
137,1.000000,199.000000,8.000000,1.000000,1.000000,1.000000
138,1.000000,203.000000,16.000000,2.000000,1.000000,1.000000
139,1.000000,215.000000,14.000000,1.000000,1.000000,1.000000
140,9927.000000,228.000000,8.000000,1.000000,1.000000,1.000000


